"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"93","4","Geordie  Bay","Out",7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","4","Geordie  Bay","Out",8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","4","Parker Point","Out",1,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","4","Parker Point","Out",2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","4","Parker Point","Out",3,4,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"98","4","Parker Point","Out",4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","4","Parker Point","Out",5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","4","Parker Point","Out",6,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"101","4","Parker Point","Out",7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","4","Parker Point","Out",8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","4","Parker Point","Out",9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","4","Parker Point","Out",10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","J L R","Strickland East","Out",1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","J L R","Strickland East","Out",2,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","J L R","Strickland East","Out",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","J L R","Strickland East","Out",4,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","J L R","Strickland East","Out",5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","J L R","Strickland East","Out",6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"111","J L R","Strickland East","Out",7,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","J L R","Strickland East","Out",8,4,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0
"113","J L R","Strickland East","Out",9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"114","J L R","Strickland East","Out",10,2,1.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"115","J L R","Strickland East","Out",11,4,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0
"116","M M K","Strickland East","Out",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","M M K","Strickland East","Out",2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
